Gene_ID,Brain,Spinal,Kidney,Heart,Sk_muscle,Main_EO,Sach_EO,Hunter_EO
scaffold3253.g5,230.3,400.7,375.1,1558,1322.8,1124.5,1149.8,1208.2
scaffold3253.g6,435.6,850.3,475.2,272.5,377.4,532.1,387.1,459.6
scaffold3253.g7,121.4,144.5,174.7,116.4,178.3,112.2,112.5,98.1
scaffold3253.g8,3,22.1,4.1,9207.9,139544.4,558.1,996.7,1814.2
scaffold3253.g9,74.3,27.4,292.8,94.4,124.6,700.8,602.2,792
scaffold3259.g1,0,0,0,0,0,0,0.5,0
scaffold3262.g1,23.6,46.1,481.2,150.6,1143.3,2338.8,3892.5,3272.8
scaffold3262.g2,432.9,287.5,21.8,75.5,397.6,146.8,165.8,145.2
scaffold3263.g1,9,7.9,2.9,2.7,0,0,0,0
scaffold3263.g2,19,52.5,15.5,0,2.9,0,0,0.4
scaffold3263.g3,30,61.4,1135.1,224,178.8,123.4,191.5,163.4
scaffold3263.g4,258.4,117.5,235.3,294.2,357.6,348.4,348.7,354.2
scaffold3263.g5,175.8,49.4,84.3,53.5,59.7,23.8,44,38.5
scaffold3263.g6,17.2,0.6,2.7,14.2,6.8,0,2.5,2.1
scaffold3263.g7,0,0,392.4,0,0.6,0.6,0.6,0
scaffold3263.g8,51.5,25.3,16.5,15.7,356.5,4.6,5,7
scaffold3266.g1,162.8,202.4,0,4.7,23,29.7,32.8,31.6
scaffold3266.g2,448.5,1188.2,1068.1,317.2,405.3,588.3,587.1,610.5
scaffold3266.g3,375.9,718.5,3,42.5,4.4,29.5,28,31
scaffold3266.g4,162,74.5,18.3,29.2,9.6,60.5,27.7,50
scaffold3272.g1,251.9,41.1,108.7,536.5,107,58.2,56.7,44.7
scaffold3272.g2,4.1,3.2,29.7,51.1,10.5,1.6,1.6,0
scaffold3273.g1,40.3,41.4,1.4,0,4.1,0,0,0
scaffold3273.g2,3.7,0.9,0,0,42.6,0,0,0.9
scaffold3275.g1,134.2,17.5,20,0.5,1,0,2.3,1
scaffold3282.g1,109.6,71.1,2.2,172.5,174.8,7.1,15.6,14.7
scaffold3286.g1,310.7,330.9,338.1,312.4,181.6,500.8,322.6,299.1
scaffold3286.g2,32.5,25.2,15,47.4,2.2,0.3,1,1.9
scaffold3286.g3,287,261.3,1160.1,401.1,440.1,480.1,404.9,304
scaffold3286.g4,578,361,2.1,906.6,1944.3,242.9,558.5,247.9
scaffold3287.g1,8.7,5.8,153.7,16.4,47.4,1491.4,2208.7,1410.2
scaffold3287.g2,5.3,0,128.1,7.9,5,1.6,4.6,5
scaffold3287.g3,1301.4,1195,490.8,557.1,206.8,613.3,587.2,708
scaffold3287.g4,829.2,3783.3,89.9,251,309.3,2658.5,1974,2802.8
scaffold3287.g5,230.1,273.5,582.9,323.6,507.9,633.5,561.6,581
scaffold3287.g6,687.3,606.8,306.5,5294.2,2428.3,53763.3,59118.5,71690.1
scaffold3288.g1,167.8,175.5,187.5,307.8,195.2,240.8,214.6,201.9
scaffold3288.g2,347.9,580.6,11361.7,335.6,111.7,73,81.2,95.3
scaffold3288.g3,1448.3,760.6,304.9,306.2,192,1057.1,652.7,809.6
scaffold3288.g4,9.2,1.7,0,3.4,1.8,7.5,4.1,2.7
scaffold3288.g5,194.3,66.8,149,3192.3,101.5,1273.5,929.5,1248.2
scaffold3288.g6,2,0.3,257.3,0,0,0,0,0
scaffold3288.g7,4329.8,10236.8,2035.1,13907.2,3664.2,5733.4,4209.4,4887.3
scaffold3288.g8,211,341.5,485.7,472.3,200,447,392.7,305.6
scaffold3289.g1,56.7,1126.1,10.1,19.9,8.4,5.5,7,8.4
scaffold3289.g2,3869.1,9440.4,8459.4,9977.8,8304.3,10371.4,9224.5,9244.3
scaffold3289.g3,1368.6,1319.3,7.1,11.1,6.2,2.9,3.7,4.6
scaffold3289.g4,700.5,436.8,43,9.1,20.1,6.8,8.4,12.3
scaffold3289.g5,28.3,19,0,0,0,0,0.8,0.4
